INPUT:diff1	INPUT:diff2	INPUT:query1	INPUT:query2	OUTPUT:result	CONFIDENCE:result
pyky	puky	pyky	puky	yes	99.30%
палитра	плита	большая палитра цветов шеллак	большая плита цветов шеллак	no	99.49%
war	air	god of war 4	god of air 4	no	97.79%
wenger	ranger	wenger ножи	ranger ножи	no	99.26%
petriot	patriot	jeep petriot	jeep patriot	yes	99.99%
samson	samsung	samson go	samsung go	no	93.54%
холдинг	молдинг	авто холдинг	авто молдинг	no	99.99%
konstantin	constantin	vacheron konstantin	vacheron constantin	yes	92.29%
тормазные	тормозных	w211 тормазные диски	w211 тормозных диски	no	96.47%
map	max	map 544018	max 544018	no	97.76%
калины	машины	гуши ель калины	гуши ель машины	no	73.83%
wolksvagen	volkswagen	wolksvagen passat b7	volkswagen passat b7	yes	99.82%
deawoo	daewoo	автостекло на deawoo	автостекло на daewoo	yes	99.98%
бензанасос	бензонасос	бензанасос opel zafira b	бензонасос opel zafira b	yes	94.58%
oktavia	octavia	skoda oktavia a7 спойлер	skoda octavia a7 спойлер	yes	99.99%
двиг	двс	nissan atlas 1987 г двиг ед 3 3 л	nissan atlas 1987 г двс ед 3 3 л	no	99.98%
octava	octavia	octava витрина холодильная	octavia витрина холодильная	no	97.98%
амартизаторы	амортизатор	амартизаторы ауди а5	амортизатор ауди а5	yes	99.98%
hunday	hyundai	бампер hunday solaris 2017	бампер hyundai solaris 2017	yes	99.49%
for	ford	need for speed ps 4	need ford speed ps 4	no	96.78%
sportaqe	sportage	kia sportaqe	kia sportage	yes	99.98%
ali	all	ali express	all express	no	89.77%
уги	уши	missouri уги	missouri уши	no	99.95%
focal	focus	focal solo6 be	focus solo6 be	yes	86.32%
samsug	samsung	samsug s2	samsung s2	yes	99.99%
ботарея	батарея	ботарея для зарядки телефона	батарея для зарядки телефона	yes	83.39%
hyperpc	hyper	hyperpc	hyper	no	99.47%
mathercare	mothercare	mathercare слипы	mothercare слипы	yes	99.94%
audio	audi	hd audio rush	hd audi rush	no	94.76%
telex	terex	telex	terex	no	97.84%
басаножки	босоножки	басаножки saint	босоножки saint	yes	99.52%
kermi	redmi	kermi новый	redmi новый	no	99.44%
samsyng	samsung	samsyng на запчасти	samsung на запчасти	yes	99.96%
organix	organic	organix	organic	no	73.40%
evenrud	evinrude	evenrud 50	evinrude 50	yes	97.20%
lassi	lassie	lassi 80	lassie 80	yes	92.66%
isr	ist	isr 4331	ist 4331	no	99.78%
заграницей	границей	рыбалка заграницей	рыбалка границей	no	99.99%
beat	bear	burberry the beat	burberry the bear	no	97.85%
momby	moby	momby для кормления	moby для кормления	yes	58.02%
focal	focus	focal aria	focus aria	yes	94.53%
дону	дом	авто ростове на дону	авто ростове на дом	no	99.99%
мета	метра	алкотестер мета	алкотестер метра	no	93.39%
audio	audi	polk audio tsi400	polk audi tsi400	no	56.95%
heyer	heuer	tag heyer	tag heuer	yes	86.92%
volksvagen	volkswagen	амортизатор volksvagen polo	амортизатор volkswagen polo	yes	54.65%
клач	клатч	furla клач	furla клатч	yes	98.58%
vinga	venga	vinga	venga	no	99.93%
reng	range	reng rover	range rover	yes	92.66%
laser	lancer	asus zenfone 2 laser ze500kg 8gb	asus zenfone 2 lancer ze500kg 8gb	no	99.90%
гел	геле	американ гел	американ геле	no	99.99%
bolevard	boulevard	bolevard	boulevard	yes	99.46%
магнетола	магнитолла	авто магнетола 2 дин	авто магнитолла 2 дин	yes	70.92%
xtr	чек	shimano xtr m9000	shimano чек m9000	no	99.93%
гос	газ	брелки гос номеры	брелки газ номеры	no	99.76%
бамеры	банеры	бамеры 2110	банеры 2110	yes	95.90%
тестер	мастер	kilian тестер	kilian мастер	no	99.96%
cканер	сканер	cканер texa	сканер texa	yes	93.68%
lauder	lauren	estee lauder perfectionist	estee lauren perfectionist	no	99.45%
асвальтная	асфальтная	асвальтная крошка	асфальтная крошка	no	71.59%
целиндров	цилиндров	блок целиндров cummins 2 8	блок цилиндров cummins 2 8	yes	99.02%
aphex	apex	aphex channel	apex channel	no	89.74%
карат	карты	12 карат	12 карты	no	99.73%
bike	nike	orion 125 pit bike	orion 125 pit nike	no	76.66%
kiels	khiels	kiels	khiels	no	64.02%
aquas	aquos	sharp aquas s2	sharp aquos s2	yes	82.08%
kit	kia	eibach pro kit bmw f20	eibach pro kia bmw f20	yes	88.06%
balanse	balance	new balanse 574 оригинал мужские новые	new balance 574 оригинал мужские новые	yes	98.02%
футов	кузов	7 футов	7 кузов	no	93.52%
бпв	бмв	балки бпв	балки бмв	yes	99.52%
doom	tom	adidas doom	adidas tom	no	59.08%
ацителеновый	ацетиленовый	ацителеновый баллон	ацетиленовый баллон	no	78.67%
аккомулятор	аккумулятор	автомобильный аккомулятор	автомобильный аккумулятор	yes	99.98%
алюминевый	алюминиевые	алюминевый борт	алюминиевые борт	no	99.83%
барс	бара	барс 3159	бара 3159	no	99.99%
sava	sata	315 70 22 5 sava	315 70 22 5 sata	no	83.54%
акуумулятор	аккумулятор	акуумулятор dji mavic pro	аккумулятор dji mavic pro	yes	77.83%
антена	антенна	антена astra h	антенна astra h	yes	76.69%
вора	бора	uncharted 4 путь вора	uncharted 4 путь бора	no	99.40%
щетчик	счетчик	щетчик капсул	счетчик капсул	yes	98.87%
rigal	regal	rigal	regal	yes	99.93%
кожанный	кожаные	брелок кожанный	брелок кожаные	no	99.99%
tdi	audi	audi q7 4 2 tdi	audi q7 4 2 audi	no	67.64%
ergobag	ergobaby	ergobag satch	ergobaby satch	no	99.50%
benelly	benelli	stels benelly 600	stels benelli 600	yes	99.98%
аккомулятор	аккумулятор	аккомулятор на фонарь	аккумулятор на фонарь	yes	99.99%
mymi	mini	mymi 24	mini 24	no	87.85%
shevrolet	chevrolet	shevrolet aveo 2016	chevrolet aveo 2016	yes	99.98%
самарке	самаре	1 комнатную на сухой самарке	1 комнатную на сухой самаре	no	58.53%
бон	баня	беби бон девочка	беби баня девочка	no	99.93%
tracer	racer	forward tracer 1 0 2015	forward racer 1 0 2015	no	99.99%
daster	duster	бампер daster	бампер duster	yes	99.95%
алюминевые	алюминиевый	алюминевые пежо 308	алюминиевый пежо 308	yes	99.99%
бош	бак	балгарка бош	балгарка бак	no	99.55%
апарат	аппараты	апарат для микросхемы	аппараты для микросхемы	yes	99.97%
фитнесса	фитнеса	абонемент территория фитнесса	абонемент территория фитнеса	yes	83.92%
дис	диск	peugeot 307 дис	peugeot 307 диск	yes	99.87%
мотрасы	матрас	био мотрасы	био матрас	yes	91.51%
rage	range	rage ps3	range ps3	no	99.22%
баян	бани	баян купить	бани купить	no	99.82%
апаратура	аппаратуры	апаратура музыка	аппаратуры музыка	no	84.23%
spire	aspire	amd wraith spire	amd wraith aspire	no	97.95%
про	евро	айпад про 2017	айпад евро 2017	no	99.97%
orange	range	orange симкарта	range симкарта	no	99.97%
антены	антенна	блок питания для антены	блок питания для антенна	no	96.16%
curutto	kurutto	carmate curutto	carmate kurutto	yes	88.89%
bmx	bmw	bmx велосипед academy aspire 2017	bmw велосипед academy aspire 2017	no	87.42%
classics	classic	reebok classics	reebok classic	yes	97.86%
норд	форд	антифриз норд	антифриз форд	no	93.23%
guliver	gulliver	guliver куртка	gulliver куртка	yes	99.38%
абонимент	абонемент	абонимент в фитнес	абонемент в фитнес	yes	96.92%
str	star	yamaha str	yamaha star	yes	98.34%
реле	руль	saab реле света	saab руль света	no	99.96%
блек	блеск	блек хс	блеск хс	yes	83.27%
back	black	ac dc back in black	ac dc black in black	no	99.84%
авт	авито	авт выключатель	авито выключатель	no	93.20%
босаножки	босоножки	босаножки для мальчика	босоножки для мальчика	yes	99.72%
lexsus	nexus	lexsus москва	nexus москва	no	99.99%
компресор	компрессоры	de12 компресор	de12 компрессоры	yes	52.68%
canali	cavalli	canali 56 размер	cavalli 56 размер	yes	75.67%
митцубиси	митсубиси	багажник митцубиси спейс стар	багажник митсубиси спейс стар	yes	99.99%
sline	s-line	бампер sline audi a4	бампер s-line audi a4	yes	83.52%
g-класс	класс	g-класс белый	класс белый	no	99.99%
химки	диски	ddr2 химки	ddr2 диски	no	99.15%
огород	город	апарат для дерева и огород	апарат для дерева и город	no	99.96%
macro	micro	canon macro lens ef 100mm 1-2 8 l is usm	canon micro lens ef 100mm 1-2 8 l is usm	yes	98.42%
аксесуары	аксессуара	аксесуары для эвакуатора	аксессуара для эвакуатора	no	54.29%
spot	sport	profoto spot	profoto sport	yes	98.15%
аккамулятор	аккумуляторе	midland аккамулятор	midland аккумуляторе	yes	95.96%
доп	дом	автоэлектрик установщик доп	автоэлектрик установщик дом	no	70.87%
dia	kia	dia shoko	kia shoko	no	99.99%
рояль	рубль	белый рояль кабинетный	белый рубль кабинетный	no	99.99%
vjl	мод	vjl	мод	yes	99.95%
красовки	краски	reebok classic красовки	reebok classic краски	no	99.98%
molo	polo	molo нов	polo нов	no	87.41%
заз	газ	автолегенды ссср заз 1102	автолегенды ссср газ 1102	no	99.97%
бартер	мастер	бартер на щебень	мастер на щебень	no	99.14%
sumsung	samsung	sumsung j3 prime	samsung j3 prime	yes	99.99%
lenova	lenovo	lenova битый	lenovo битый	yes	99.99%
danlop	dunlop	275 40 20 danlop	275 40 20 dunlop	yes	99.92%
бакальская	байкальская	бакальская	байкальская	no	92.65%
iphon	iphone	iphon 4s 16gb	iphone 4s 16gb	yes	97.81%
cover	rover	s-view cover samsung note 3	s-view rover samsung note 3	no	99.97%
кованные	кожаные	а6 ауди диски кованные	а6 ауди диски кожаные	no	85.67%
котеджи	коттеджи	дербент сдам котеджи	дербент сдам коттеджи	yes	99.04%
focal	focus	focal 165as3	focus 165as3	no	99.93%
ленова	леново	аксессуары для ленова	аксессуары для леново	yes	99.99%
классик	пластик	recaro классик	recaro пластик	no	56.97%
калос	ланос	акпп дэу калос	акпп дэу ланос	yes	97.82%
aphone	iphon	aphone 5se	iphon 5se	yes	85.28%
аккустика	акустика	аккустика в катер	акустика в катер	yes	99.99%
gdr	ddr	made in gdr	made in ddr	yes	82.44%
sumsung	samsung	sumsung gt b7300	samsung gt b7300	yes	99.99%
gigma	digma	gigma 1710t	digma 1710t	yes	99.80%
байк	баки	байк спортивный для детей 9 лет	баки спортивный для детей 9 лет	no	99.82%
bike	nike	big bike	big nike	no	99.90%
kross	cross	kross level r4	cross level r4	yes	94.58%
гдв-	гдв	6 гдв-4	6 гдв 4	yes	98.76%
афон	айфоны	абхазия новый афон	абхазия новый айфоны	no	94.14%
аккамуляторов	аккумуляторов	аккамуляторов	аккумуляторов	yes	77.69%
akai	kia	akai дека	kia дека	yes	61.27%
kelvin	calvin	kelvin klein купальник	calvin klein купальник	yes	99.98%
пробегои	пробегом	автомобили с пробегои	автомобили с пробегом	yes	96.52%
tusan	tuscan	tusan	tuscan	no	62.53%
xioami	xiaomi	xioami redmi 4 pro	xiaomi redmi 4 pro	yes	99.96%
yota	toyota	3g модем yota	3g модем toyota	no	99.74%
blec	black	автомобильный видеорегистратор blec wi	автомобильный видеорегистратор black wi	yes	99.99%
kay	kia	kay	kia	no	97.85%
seed	speed	kia seed ed капот	kia speed ed капот	yes	63.80%
skorpio	scorpio	skorpio	scorpio	yes	51.98%
адаптор	адаптер	адаптор w204	адаптер w204	yes	99.99%
usd	usb	агрессивные ролики usd realm	агрессивные ролики usb realm	no	56.10%
апарат	аппарата	gf апарат	gf аппарата	no	59.56%
аудио-	аудио	аудио-процессор	аудио процессор	no	98.95%
дверок	дверей	фурнитура для стеклянных дверок шкафа	фурнитура для стеклянных дверей шкафа	yes	73.61%
willo	wilo	willo	wilo	yes	99.99%
gsb	jcb	bosch gsb 90-2e	bosch jcb 90-2e	yes	93.33%
квартры	квартиру	3 комнатные квартры продажа в анапе	3 комнатные квартиру продажа в анапе	no	99.08%
matebook	macbook	huawei matebook 128 гб	huawei macbook 128 гб	yes	77.99%
cugoo	kugoo	cugoo s2	kugoo s2	yes	96.86%
cgbyybyu	спиннинг	cgbyybyu	спиннинг	yes	92.50%
ride	red	roll n ride	roll n red	no	93.53%
nesus	nexus	nesus 5x	nexus 5x	yes	99.85%
mitsubichi	mitsubishi	mitsubichi pajero	mitsubishi pajero	yes	98.87%
sko	ski	shmitz sko 24	shmitz ski 24	no	98.12%
solo	polo	arcam solo movie	arcam polo movie	no	99.79%
mersedec	mersedes	221 mersedec	221 mersedes	yes	93.09%
mach	mah	mustang mach 1	mustang mah 1	no	99.97%
акамуляторы	аккумуляторы	авто акамуляторы	авто аккумуляторы	yes	93.33%
vutton	vuitton	louis vutton сумки	louis vuitton сумки	yes	99.96%
поляна	полка	банное зеленая поляна	банное зеленая полка	no	75.83%
komho	kumho	komho 185 65 r15	kumho 185 65 r15	yes	80.98%
vercace	versace	vercace	versace	yes	99.97%
canin	canon	royal canin giant	royal canon giant	yes	74.92%
брилиантом	бриллиантом	браслет с брилиантом	браслет с бриллиантом	yes	99.60%
бав	бмв	бав феникс 1065	бмв феникс 1065	no	97.27%
стеклоподемников	стеклоподъемников	блок управления стеклоподемников на мерс 205	блок управления стеклоподъемников на мерс 205	yes	99.96%
small	smart	kenda small block	kenda smart block	no	95.55%
куна	кухня	белы куна	белы кухня	no	99.90%
серато	серого	автомагнитола киа серато	автомагнитола киа серого	no	98.28%
полли	поли	аппарат для эпиляции полли	аппарат для эпиляции поли	no	99.32%
атс	птс	атс panasonic kx-td1232	птс panasonic kx-td1232	no	99.56%
бош	бак	болгарка бош 125	болгарка бак 125	no	99.61%
mersedes	mercedes	mersedes clk 200 запчасти	mercedes clk 200 запчасти	yes	99.60%
arts	art	grundig fine arts a 903	grundig fine art a 903	no	96.24%
бетонамешалка	бетономешалка	бетонамешалка	бетономешалка	yes	98.08%
басейны	бассейны	басейны воронеж	бассейны воронеж	yes	97.73%
дор	двор	аврора дор	аврора двор	no	98.94%
kit	kia	a6300 kit	a6300 kia	yes	74.34%
акю	акб	акю	акб	yes	99.40%
bsr	bse	mikuni bsr 36	mikuni bse 36	no	99.99%
musc	music	ajmal violet musc	ajmal violet music	yes	86.59%
армада	аренда	армада 150	аренда 150	no	56.25%
muc	mic	sony muc	sony mic	yes	99.60%
аня	баня	аня из зеленых	баня из зеленых	no	92.00%
бмвх	бмв	бмвх х5	бмв х5	yes	99.94%
ibox	xbox	ibox x 9	xbox x 9	yes	54.53%
тенниска	тенниса	polo тенниска	polo тенниса	no	68.32%
ukbyf	глина	ukbyf	глина	yes	98.74%
врассрочку	рассрочку	авто врассрочку	авто рассрочку	no	97.04%
ipda	ipad	ipda	ipad	no	53.66%
belberg	valberg	belberg 11a 121	valberg 11a 121	no	99.86%
pcmci	pcmcia	pcmci gps	pcmcia gps	yes	89.67%
анг	англ	анг кокер спаниэль	англ кокер спаниэль	yes	99.97%
lois	louis	lois vuitton	louis vuitton	yes	99.66%
акка	ока	акка	ока	no	76.93%
барное	баров	банки пиво барное	банки пиво баров	no	99.99%
toyo	toyota	toyo tires proxes	toyota tires proxes	yes	76.66%
nand	band	nand flash reader	band flash reader	no	99.82%
басоножки	босоножки	басоножки 41разм	босоножки 41разм	yes	99.99%
будка	сумка	2107 будка	2107 сумка	no	90.61%
e-класс	класс	mercedes-benz e-класс дизель	mercedes-benz класс дизель	no	99.19%
база	без	база отдыха даурск	без отдыха даурск	no	87.96%
eazy	yeezy	eazy	yeezy	no	99.90%
amibo	amiibo	amibo	amiibo	yes	58.39%
бра	пара	бра советская	пара советская	no	86.07%
cgkbn	сплит	cgkbn cbcntvf	сплит cbcntvf	yes	57.05%
experia	xperia	sony experia e4	sony xperia e4	yes	99.53%
del	dell	rose del mare	rose dell mare	no	98.49%
plastation	playstation	plastation 3 обмен	playstation 3 обмен	yes	92.85%
белки	белый	белки колеса	белый колеса	no	99.93%
плата	платье	айфон плата	айфон платье	no	99.99%
база	без	siemens gigaset база	siemens gigaset без	no	99.90%
cамовар	самовар	cамовар	самовар	yes	99.98%
dvr	dvd	ridian dvr	ridian dvd	yes	50.62%
evrotex	eurotex	evrotex galleon	eurotex galleon	yes	99.99%
ddg	ввп	ddg	ввп	yes	51.12%
про	евро	kia ceed про	kia ceed евро	no	99.99%
rolf	golf	blue fish rolf	blue fish golf	no	99.67%
viktoria	victoria	viktoria secret бралетт	victoria secret бралетт	yes	99.99%
акумулятор	аккумуляторы	акумулятор хуавей	аккумуляторы хуавей	no	66.32%
dick	disc	dick cepek	disc cepek	yes	51.51%
iriver	rover	iriver 550	rover 550	yes	54.17%
ito	vito	megabass ito	megabass vito	no	92.47%
gelaxy	galaxy	gelaxy s7 edge	galaxy s7 edge	yes	99.98%
nicon	nikon	nicon coolpix a	nikon coolpix a	yes	99.99%
tuareg	touareg	tuareg nf раздатка	touareg nf раздатка	yes	96.82%
заблокированый	заблокирован	айфон 5 заблокированый	айфон 5 заблокирован	yes	98.99%
катюшки	катушка	улица катюшки лобня	улица катушка лобня	no	91.20%
shark	smart	shark race-r pro	smart race-r pro	no	99.80%
перед	передни	toyota camry 40 перед морда	toyota camry 40 передни морда	no	99.99%
ltd	led	fisher f75 ltd	fisher f75 led	no	99.12%
матрикс	матрица	hyundai matrix хендай матрикс	hyundai matrix хендай матрица	no	96.72%
hdi	hdmi	2 2 hdi 4hy	2 2 hdmi 4hy	yes	83.99%
манго	масло	mango манго	mango масло	no	90.48%
zet	zte	zet a8	zte a8	yes	87.44%
корола	королла	бампер тойта корола 120	бампер тойта королла 120	yes	99.68%
mersedes	mercedes	mersedes 9 мест	mercedes 9 мест	yes	99.99%
lachetti	lacetti	lachetti сетка	lacetti сетка	no	84.65%
chezet	cezet	chezet	cezet	yes	99.36%
aйфон	айфон	aйфон 8	айфон 8	yes	93.33%
hdr	hdd	sony hdr-cx7	sony hdd-cx7	no	74.97%
ахота	охота	ахота	охота	yes	99.69%
desing	design	digital desing	digital design	yes	99.99%
fpc	азс	fpc 130	азс 130	no	91.41%
dsс	dsc	sony dsс w-90	sony dsc w-90	yes	79.47%
aqua	asus	philips pro aqua	philips pro asus	no	79.32%
райн	районе	кумторкалинский райн	кумторкалинский районе	no	83.39%
банхар	баннер	банхар купить	баннер купить	yes	93.89%
jcb	usb	jcb 2013	usb 2013	no	96.14%
pcle	pcie	pcle	pcie	no	57.13%
xonda	honda	xonda cb 400 vtek 3	honda cb 400 vtek 3	yes	98.28%
баробаны	барабаны	polo баробаны	polo барабаны	yes	99.19%
леди	лет	блузка маленькая леди новая	блузка маленькая лет новая	no	99.99%
pony	sony	pony blind bag	sony blind bag	yes	74.00%
kit	kia	canon eos 650d kit	canon eos 650d kia	no	99.87%
gusty	gusti	gusty зимний для мальчика	gusti зимний для мальчика	yes	91.27%
kingstone	kingston	ddr3 8gb kingstone	ddr3 8gb kingston	yes	98.74%
musica	music	musica	music	no	59.93%
спробегом	пробегом	авто спробегом в кирове	авто пробегом в кирове	no	98.21%
cry	core	far cry 3 фигурка	far core 3 фигурка	no	94.08%
cic	ice	cic головное e70	ice головное e70	no	99.90%
сузуки	сумки	аксессуары для сузуки джимни	аксессуары для сумки джимни	no	97.47%
андресоль	антресоль	андресоль	антресоль	yes	99.97%
стеклоподъёмников	стеклоподъемников	блок управления стеклоподъёмников nexia	блок управления стеклоподъемников nexia	no	89.40%
белореченс	белореченск	белореченс	белореченск	yes	85.59%
warfedale	wharfedale	warfedale linton	wharfedale linton	yes	61.37%
avto	avito	avto pu	avito pu	yes	98.34%
akai	kia	akai gx-4000d	kia gx-4000d	no	99.99%
laser	lancer	stockli laser	stockli lancer	no	97.70%
avic	mavic	pioneer avic	pioneer mavic	no	99.78%
xonda	honda	xonda cbr600rr	honda cbr600rr	yes	99.78%
acera	acer	stels navigator 750 acera	stels navigator 750 acer	yes	74.22%
rika	riko	rika	riko	yes	95.09%
sprint	sprinter	sprint т80	sprinter т80	no	98.93%
interpid	intrepid	dodge interpid	dodge intrepid	no	90.64%
орегинал	оригинал	kia rio орегинал	kia rio оригинал	yes	99.68%
soni	sony	автомагнитола soni	автомагнитола sony	no	93.66%
tor	top	tor	top	no	99.46%
for	ford	narciso rodriguez for her l absolu	narciso rodriguez ford her l absolu	no	91.28%
viton	vuitton	viton	vuitton	yes	76.98%
hors	kors	hors motors	kors motors	no	94.14%
робот	работы	бампер я робот ваз	бампер я работы ваз	no	98.24%
sunny	sony	nissan sunny разбор генератор	nissan sony разбор генератор	no	99.98%
lumina	lumia	pontiac trans sport chevrolet lumina apv	pontiac trans sport chevrolet lumia apv	no	92.98%
mara	zara	max mara балетки	max zara балетки	no	98.87%
vector	vectra	vector hx 400	vectra hx 400	no	99.83%
акумулятор	аккумулятор	акумулятор 32650	аккумулятор 32650	yes	99.99%
восстановленый	восстановленный	айфон восстановленый	айфон восстановленный	yes	99.85%
багема	багета	багема ваза	багета ваза	no	99.93%
автомоли	автомобили	автомоли	автомобили	no	95.91%
плата	платье	ippon ибп плата	ippon ибп платье	no	99.66%
storm	sport	street storm str-9950ex gl	street sport str-9950ex gl	no	58.35%
lbyfvbrb	динамики	lbyfvbrb	динамики	yes	95.84%
pioner	pioneer	pioner 8500	pioneer 8500	yes	99.97%
balans	balance	new balans	new balance	yes	97.96%
передий	передний	бампер передий ваз 2170 приора	бампер передний ваз 2170 приора	yes	99.99%
боллер	бойлер	боллер бу	бойлер бу	yes	100.00%
альметьевский	альметьевске	альметьевский район	альметьевске район	no	99.54%
astro	astra	motorola astro spectra	motorola astra spectra	yes	82.64%
bjorkvist	bjorkkvist	bjorkvist	bjorkkvist	yes	99.03%
адаптор	адаптера	hdmi адаптор	hdmi адаптера	yes	99.99%
безконтактное	бесконтактное	безконтактное зажигание на ваз	бесконтактное зажигание на ваз	yes	97.05%
аккамулятор	аккумуляторе	аккамулятор от теле2 мини	аккумуляторе от теле2 мини	no	99.94%
шляпка	шапка	белая шляпка	белая шапка	no	99.83%
cdx	свч	sony cdx-g3200uv	sony свч-g3200uv	no	95.25%
xiomi	xiaomi	xiomi 4 5	xiaomi 4 5	yes	99.97%
karl	carlo	karl сумка	carlo сумка	no	59.54%
oxxymiron	oxxxymiron	oxxymiron	oxxxymiron	yes	85.13%
rome	romeo	umidigi rome	umidigi romeo	no	94.91%
капа	акпп	акпп хонда капа	акпп хонда акпп	yes	74.45%
rjhub	корги	rjhub	корги	no	70.56%
dvs	dvd	prology dvs	prology dvd	no	99.32%
hundai	hyundai	hundai hd 35	hyundai hd 35	yes	99.99%
калес	колеса	без калес	без колеса	yes	99.94%
parfume	parfum	art parfume	art parfum	yes	81.04%
кожанные	кожаный	белые кожанные	белые кожаный	no	99.60%
eon	xeon	electrolux eon	electrolux xeon	no	99.54%
акомулятор	аккамулятор	акомулятор 190 ампер	аккамулятор 190 ампер	yes	69.43%
aconia	iconia	acer aconia w511	acer iconia w511	yes	99.99%
ark	mark	ark elf e1	mark elf e1	no	99.99%
бензанасос	бензонасос	opel omega b бензанасос	opel omega b бензонасос	yes	92.66%
тени	одни	essence тени	essence одни	no	99.86%
бетские	детские	бетские	детские	yes	99.39%
dsh	dsc	hilti dsh	hilti dsc	no	68.96%
kerre	kerry	kerre	kerry	yes	76.89%
двигател	двигателем	двигател на mersedes benz e klass 2 4	двигателем на mersedes benz e klass 2 4	no	99.99%
rjcvjyfdnjd	космонавтов	rjcvjyfdnjd	космонавтов	yes	99.99%
focal	focus	focal music live	focus music live	no	99.89%
torus	aorus	torus r15	aorus r15	no	81.57%
афтограф	автограф	афтограф месси	автограф месси	yes	76.69%
phill	phil	phill teds	phil teds	yes	99.99%
camper	cooper	camper обмен	cooper обмен	no	66.33%
crauser	cruiser	crauser	cruiser	yes	91.91%
пластмасовая	пластмассовая	бочка пластмасовая 180л	бочка пластмассовая 180л	yes	99.79%
usm	usb	canon ef 85mm f 1 8 usm	canon ef 85mm f 1 8 usb	yes	96.71%
lilotti	liloti	lilotti	liloti	no	72.00%
fitnes	fitness	loft fitnes	loft fitness	yes	99.99%
hud	head	bmw hud	bmw head	yes	98.37%
куски	кухни	арматура куски	арматура кухни	no	93.39%
spec	space	d1 spec гайки	d1 space гайки	no	71.84%
kit	kia	sony alpha 5100 kit	sony alpha 5100 kia	no	93.52%
cayn	cayin	cayn	cayin	yes	88.12%
репитер	ресивер	wifi репитер	wifi ресивер	yes	82.25%
аккумуляторный	аккумуляторы	аккумуляторный телевизор	аккумуляторы телевизор	no	99.09%
поводок	потолок	mitsubishi outlander поводок стеклоочистителя	mitsubishi outlander потолок стеклоочистителя	no	99.99%
бес	бас	бес документов	бас документов	no	99.90%
кариер	карьер	блок управления кариер	блок управления карьер	no	98.83%
трэкбол	трекбол	trackball трекбол трэкбол	trackball трекбол трекбол	yes	99.99%
orange	range	orange fitnes	range fitnes	no	99.93%
kira	kia	kira plastinina пальто	kia plastinina пальто	no	99.96%
банан	баня	17 банан	17 баня	no	99.82%
shi	she	shi	she	yes	54.71%
боллеро	болеро	боллеро	болеро	yes	99.99%
репитер	ресивер	автомобильный репитер	автомобильный ресивер	no	98.41%
hyudai	hyundai	hyudai getz фара	hyundai getz фара	yes	94.00%
ficher	fischer	ficher f75	fischer f75	yes	98.11%
афон	фон	абхазия новый афон	абхазия новый фон	no	99.99%
сабфувер	сабвуфер	сабфувер 25 см	сабвуфер 25 см	yes	98.44%
крепить	кредита	багажники на крышу крепить велосипед	багажники на крышу кредита велосипед	no	99.99%
маска	москва	sisley маска с черной розой	sisley москва с черной розой	yes	55.16%
late	lite	apple macbook late 2013 256gb	apple macbook lite 2013 256gb	yes	78.00%
гск	газ	куплю гараж гск прогресс	куплю гараж газ прогресс	no	98.80%
iphon	iphone	iphon x	iphone x	yes	99.91%
men	new	8 for men	8 for new	no	99.89%
che	the	marta che	marta the	no	98.97%
mag-	mag	mag-256	mag 256	yes	99.33%
mind	and	mind body	and body	no	99.96%
бпос	бпц	бинокль бпос 10х42 байгыш	бинокль бпц 10х42 байгыш	no	99.86%
legasy	legacy	matrix legasy	matrix legacy	yes	97.69%
dmw	bmw	dmw-lvf2	bmw-lvf2	no	94.91%
wef	vef	wef	vef	no	96.45%
bms	bmw	bms kugoo	bmw kugoo	no	99.97%
серебр	серебра	браслет для часов серебр	браслет для часов серебра	no	66.65%
elision	elysion	honda elision	honda elysion	yes	99.42%
богажник	багажник	богажник на крышу кио рио	багажник на крышу кио рио	yes	98.40%
салярис	солярис	панель крышки багажника салярис	панель крышки багажника солярис	yes	99.99%
totota	toyota	totota 17	toyota 17	yes	98.91%
антена	антенна	антена для старого телевизора	антенна для старого телевизора	yes	98.48%
кот	год	беговая кот	беговая год	no	99.14%
gram	gran	tesoro gram xs	tesoro gran xs	yes	90.62%
домиков	домов	аренда домиков для отдыха	аренда домов для отдыха	no	95.18%
чистки	диски	аппарат для чистки ушек	аппарат для диски ушек	no	99.17%
pile	pike	pile	pike	no	70.78%
hds	hdd	panasonic hds sd 80	panasonic hdd sd 80	no	81.18%
mele	miele	mele	miele	no	59.11%
ромер	номер	автокресло ромер 15-36	автокресло номер 15-36	no	99.21%
xiomi	xiaomi	xiomi redmi 4x	xiaomi redmi 4x	yes	94.02%
ассанизатор	ассенизатор	ассанизатор	ассенизатор	yes	99.99%
нисан	диван	автомат на нисан	автомат на диван	no	99.98%
обьектив	объективы	14-42 обьектив	14-42 объективы	yes	99.99%
дио	рио	ремень хонда дио аф 27	ремень хонда рио аф 27	yes	98.48%
холодилников	холодильников	аренда холодилников	аренда холодильников	yes	99.99%
кастюм	костюма	polo спортивный кастюм мужской	polo спортивный костюма мужской	yes	98.31%
wtgb	цепи	wtgb	цепи	yes	99.99%
bond	band	bond no 9	band no 9	yes	88.12%
фолькцваген	фольксваген	автомагнитола фолькцваген	автомагнитола фольксваген	yes	99.33%
база	без	база музаева	без музаева	no	99.74%
запчасит	запчасти	б у авто запчасит для крайслер тоун кантри	б у авто запчасти для крайслер тоун кантри	yes	99.99%
